"ANTIOQUI",636,598,579,568,575,577,590,643,720,780,827,868,883,855,815,791,780,789,945,989,947,869,785,681
"ATLANTIC",510,491,477,465,458,444,420,423,432,442,454,464,469,472,469,467,463,466,582,564,569,574,565,534
"BOGOTA",1123,1055,1022,1008,1013,1001,1024,1152,1298,1401,1465,1483,1480,1440,1372,1330,1310,1396,1740,1776,1761,1532,1348,1158
"BOLIVAR",368,362,354,346,340,331,313,316,322,326,334,338,339,340,339,340,334,337,413,409,415,412,406,386
"CAUCANAR",124,114,109,106,110,122,142,161,178,182,184,185,185,174,162,161,160,169,244,265,247,203,158,128
"CERROMAT",312,311,306,306,302,300,294,294,298,295,291,292,313,304,314,310,310,316,356,367,367,349,337,322
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",216,209,203,197,190,188,175,171,175,176,183,189,192,193,193,192,193,193,256,256,260,253,239,221
"CQR",258,239,230,227,225,224,221,245,269,293,308,325,325,318,308,299,297,302,393,420,411,359,316,273
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCM",436,421,408,401,395,378,356,358,359,361,367,378,384,393,395,393,386,384,449,475,486,482,467,443
"HUILACAQ",102,95,92,88,87,88,89,98,106,114,119,124,124,123,121,118,117,119,175,179,170,148,125,107
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",113,108,104,103,101,99,98,107,120,128,135,139,141,139,135,130,131,133,163,163,159,141,127,111
"NORDESTE",725,695,686,664,666,671,661,693,734,757,781,797,788,785,780,769,771,812,908,932,906,850,788,745
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",67,67,65,65,65,72,74,77,75,77,77,77,77,79,81,82,81,78,84,79,74,70,71,70
"TOLIMA",130,123,119,116,115,115,112,121,132,141,144,152,155,155,152,151,148,146,184,195,188,171,152,133
"VALLECAU",594,556,528,515,512,509,482,522,575,615,650,682,701,689,664,649,643,664,842,870,856,782,721,638
"Total",5714,5444,5282,5175,5154,5119,5051,5381,5793,6088,6319,6493,6556,6459,6300,6182,6124,6304,7734,7939,7816,7195,6605,5950
