"ANTIOQUI",692,627,573,533,506,483,446,467,502,545,580,611,621,612,586,566,562,595,878,883,892,739,647,542
"ATLANTIC",447,435,417,401,386,377,345,335,332,332,332,336,334,335,339,334,334,355,510,506,513,444,421,396
"BOGOTA",1202,1072,958,878,835,789,685,694,740,802,856,895,906,893,853,823,816,853,1307,1318,1328,1150,1000,861
"BOLIVAR",313,305,296,287,279,267,250,245,246,248,250,253,253,252,253,254,258,281,377,364,369,326,308,292
"CAUCANAR",208,176,151,137,140,134,138,139,142,155,158,167,159,150,143,142,149,161,232,249,220,179,147,119
"CERROMAT",297,282,273,270,267,265,259,254,258,256,255,258,263,262,267,267,267,273,333,337,339,313,297,278
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",204,198,191,186,184,184,165,157,155,153,152,156,155,151,152,153,156,172,252,245,244,224,207,191
"CQR",314,283,256,233,218,208,189,194,209,223,245,258,257,251,241,237,235,255,386,409,391,334,279,232
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"GCM",402,390,382,370,358,345,315,303,298,296,293,294,289,290,295,295,294,320,428,432,437,412,386,365
"HUILACAQ",135,123,111,103,95,94,80,81,86,93,97,101,101,100,100,99,101,100,139,157,147,124,111,93
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",112,104,97,90,85,80,78,80,90,98,105,109,109,108,105,102,101,104,142,139,138,121,103,91
"NORDESTE",638,595,559,533,518,504,464,456,461,469,474,479,475,466,460,455,460,504,783,780,772,643,574,521
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",71,72,68,64,59,56,49,48,46,46,47,48,47,46,46,47,47,51,67,65,63,55,39,45
"TOLIMA",194,181,164,153,144,135,124,131,135,144,147,153,159,159,153,152,153,155,196,212,206,189,165,145
"VALLECAU",546,508,468,452,450,463,452,487,538,583,611,631,620,617,615,612,614,604,733,723,707,637,573,499
"Total",5775,5351,4964,4690,4524,4384,4039,4071,4238,4443,4602,4749,4748,4692,4608,4538,4547,4783,6763,6819,6766,5890,5257,4670
