"ANTIOQUI",656,626,607,610,631,676,740,833,929,993,1035,1070,1056,1006,969,941,924,933,1039,1067,1006,891,791,696
"ATLANTIC",516,498,488,473,471,462,451,470,511,535,552,560,545,541,536,527,514,502,552,583,577,568,560,541
"BOGOTA",1221,1148,1121,1115,1173,1253,1370,1555,1728,1831,1883,1890,1857,1767,1674,1631,1608,1655,1932,1934,1887,1660,1424,1257
"BOLIVAR",374,364,355,347,343,335,317,326,346,358,369,372,369,369,367,365,361,355,403,421,412,405,400,390
"CAUCANAR",126,118,115,115,123,144,167,185,197,202,210,212,205,190,185,185,188,200,269,285,258,216,174,142
"CERROMAT",303,299,293,297,295,294,289,292,300,299,291,293,304,299,305,306,306,304,343,357,356,337,324,312
"CHIVOR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CORDOSUC",202,193,186,183,182,182,169,170,182,188,195,200,197,198,200,200,196,192,238,263,256,249,239,224
"CQR",257,243,234,233,236,250,261,293,323,346,364,376,372,358,349,339,336,342,427,452,432,375,327,287
"ECUADOR138",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ECUADOR220",59,27,0,0,0,16,37,121,172,226,249,239,237,280,266,170,170,170,170,160,170,260,221,117
"GCM",435,419,407,400,394,379,354,358,372,383,394,405,406,411,419,416,406,476,548,574,581,575,560,455
"HUILACAQ",100,93,92,91,91,94,98,110,123,131,138,143,142,137,135,133,132,130,179,182,174,152,132,113
"LAMIEL",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MAGDAMED",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"META",111,107,105,105,105,105,107,120,133,143,148,151,150,148,147,147,144,145,171,173,167,153,138,124
"NORDESTE",720,700,687,759,764,776,780,835,903,938,964,979,956,944,936,926,914,940,1052,1079,1041,977,917,751
"PAGUA",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SANCARLO",72,70,69,68,71,72,70,72,73,75,76,75,76,76,77,78,77,77,81,76,73,68,65,65
"TOLIMA",132,125,121,119,119,124,125,139,152,162,169,175,173,170,170,168,165,165,200,211,203,184,164,144
"VALLECAU",632,599,581,564,583,604,596,648,726,786,834,878,859,832,802,789,777,767,905,947,920,817,733,659
"Total",5916,5629,5461,5479,5581,5766,5931,6527,7170,7596,7871,8018,7904,7726,7537,7321,7218,7353,8509,8764,8513,7887,7169,6277
